"Brand","Brand ID","Month and Year","Affiliate","Impressions","Clicks","Signups","NDC","fdt","Net Revenue","Earnings"
"Betboo","2","Mar-24","aignon","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","filmseyretizle","0","2","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","ams-dizi-izleyin","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","affiliatecan","0","209","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","ustaenes","0","2","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","fk502","0","230","9","5","4","€ 33,276.21","€ 11,974.29"
"Betboo","2","Mar-24","casinoseiten","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","stckhlm","0","2","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","azzurro26","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","redcasino","0","2","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","casinofoorumi","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","bestecasinos","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","FreeSpin","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","cancayci","0","29","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","pisipisi","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","websearch","0","3","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","gulergoktas","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","iyicasino","0","172","3","2","2","€ 6,374.19","€ 2,230.97"
"Betboo","2","Mar-24","daloagam","0","2","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","santus600","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","freekasyno","0","3","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","akerty3543","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","bezdepozytu","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","sporbahisleri","0","2","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","amnon9292","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","rgamma","0","1","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","freecashforum","0","3","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","arda2ber","4","0","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","Besiktask","0","21","2","1","1","€ 10.82","€ 3.25"
"Betboo","2","Mar-24","isaistanbul","0","4","0","0","0","€ 0.00","€ 0.00"
"Betboo","2","Mar-24","stellacommission","0","5","0","0","0","€ 0.00","€ 0.00"
